"No.","Time","Source","Destination","Protocol","Length","Info"
"17","7.741308","192.168.1.12","192.168.1.14","TCP","66","8008  >  62779 [ACK] Seq=1 Ack=2 Win=1386 Len=0 SLE=1 SRE=2"
"18","7.882255","192.168.1.14","192.168.1.12","TCP","164","62706  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=508 Len=110 [TCP PDU reassembled in 181]"
"19","7.894295","192.168.1.12","192.168.1.14","TCP","164","8009  >  62706 [PSH, ACK] Seq=111 Ack=221 Win=1506 Len=110 [TCP PDU reassembled in 183]"
"20","7.945140","192.168.1.14","192.168.1.12","TCP","54","62706  >  8009 [ACK] Seq=221 Ack=221 Win=508 Len=0"
"21","9.287309","192.168.1.14","192.168.1.12","TCP","164","62671  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=509 Len=110 [TCP PDU reassembled in 209]"
"22","9.293841","192.168.1.12","192.168.1.14","TCP","164","8009  >  62671 [PSH, ACK] Seq=111 Ack=221 Win=1506 Len=110 [TCP PDU reassembled in 210]"
"23","9.348809","192.168.1.14","192.168.1.12","TCP","54","62671  >  8009 [ACK] Seq=221 Ack=221 Win=508 Len=0"
"24","11.404947","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2606:4700:4400::ac40:98aa","TCP","75","63217  >  443 [ACK] Seq=1 Ack=1 Win=515 Len=1"
"25","11.423432","2606:4700:4400::ac40:98aa","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","86","443  >  63217 [ACK] Seq=1 Ack=2 Win=8 Len=0 SLE=1 SRE=2"
"26","11.625366","192.168.1.14","52.139.252.32","TCP","55","62893  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"27","11.656799","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2606:4700:4400::6812:2356","TCP","75","63219  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=1"
"28","11.672646","52.139.252.32","192.168.1.14","TCP","66","443  >  62893 [ACK] Seq=1 Ack=2 Win=63 Len=0 SLE=1 SRE=2"
"29","11.672646","2606:4700:4400::6812:2356","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","86","443  >  63219 [ACK] Seq=1 Ack=2 Win=8 Len=0 SLE=1 SRE=2"
"30","11.704692","192.168.1.14","35.186.224.44","TLSv1.2","82","Application Data"
"31","11.909083","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2404:6800:4003:c02::84","TCP","75","63225  >  443 [ACK] Seq=1 Ack=1 Win=515 Len=1"
"32","11.940187","192.168.1.14","35.186.224.44","TCP","82","[TCP Retransmission] 62694  >  443 [PSH, ACK] Seq=1 Ack=1 Win=509 Len=28"
"33","11.951996","35.186.224.44","192.168.1.14","TCP","54","443  >  62694 [ACK] Seq=1 Ack=29 Win=272 Len=0"
"34","12.014988","2404:6800:4003:c02::84","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","86","443  >  63225 [ACK] Seq=1 Ack=2 Win=290 Len=0 SLE=1 SRE=2"
"35","12.018815","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2404:6800:4003:c02::84","TCP","75","63253  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1"
"36","12.123862","2404:6800:4003:c02::84","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","86","443  >  63253 [ACK] Seq=1 Ack=2 Win=279 Len=0 SLE=1 SRE=2"
"37","12.254737","35.186.224.44","192.168.1.14","TLSv1.2","78","Application Data"
"38","12.302749","192.168.1.14","35.186.224.44","TCP","54","62694  >  443 [ACK] Seq=29 Ack=25 Win=508 Len=0"
"39","12.770993","192.168.1.14","40.126.35.87","TCP","66","63288  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"40","12.795274","40.126.35.87","192.168.1.14","TCP","66","443  >  63288 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"41","12.795432","192.168.1.14","40.126.35.87","TCP","54","63288  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"42","12.795927","192.168.1.14","40.126.35.87","TLSv1.2","283","Client Hello (SNI=login.live.com)"
"43","12.820712","40.126.35.87","192.168.1.14","TCP","2934","443  >  63288 [ACK] Seq=1 Ack=230 Win=4194304 Len=2880 [TCP PDU reassembled in 44]"
"44","12.820712","40.126.35.87","192.168.1.14","TLSv1.2","1133","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"45","12.820834","192.168.1.14","40.126.35.87","TCP","54","63288  >  443 [ACK] Seq=230 Ack=3960 Win=132352 Len=0"
"46","12.844163","192.168.1.14","40.126.35.87","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"47","12.869714","40.126.35.87","192.168.1.14","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"48","12.870729","192.168.1.14","40.126.35.87","TLSv1.2","333","Application Data"
"49","12.870846","192.168.1.14","40.126.35.87","TLSv1.2","4939","Application Data"
"50","12.895951","40.126.35.87","192.168.1.14","TCP","54","443  >  63288 [ACK] Seq=4011 Ack=2107 Win=4194560 Len=0"
"51","12.895951","40.126.35.87","192.168.1.14","TCP","54","443  >  63288 [ACK] Seq=4011 Ack=4987 Win=4194560 Len=0"
"52","12.900399","192.168.1.14","192.168.1.12","TCP","164","62706  >  8009 [PSH, ACK] Seq=221 Ack=221 Win=508 Len=110 [TCP PDU reassembled in 181]"
"53","12.907367","192.168.1.12","192.168.1.14","TCP","164","8009  >  62706 [PSH, ACK] Seq=221 Ack=331 Win=1506 Len=110 [TCP PDU reassembled in 183]"
"54","12.937464","40.126.35.87","192.168.1.14","TCP","54","443  >  63288 [ACK] Seq=4011 Ack=5552 Win=4194048 Len=0"
"55","12.947156","192.168.1.14","192.168.1.12","TCP","54","62706  >  8009 [ACK] Seq=331 Ack=331 Win=508 Len=0"
"56","13.113706","40.126.35.87","192.168.1.14","TCP","1494","443  >  63288 [ACK] Seq=4011 Ack=5552 Win=4194048 Len=1440 [TCP PDU reassembled in 60]"
"57","13.114000","40.126.35.87","192.168.1.14","TCP","2934","443  >  63288 [ACK] Seq=5451 Ack=5552 Win=4194048 Len=2880 [TCP PDU reassembled in 60]"
"58","13.114000","40.126.35.87","192.168.1.14","TCP","518","[TCP Previous segment not captured] 443  >  63288 [FIN, PSH, ACK] Seq=9771 Ack=5552 Win=4194048 Len=464 [TCP PDU reassembled in 60]"
"59","13.114086","192.168.1.14","40.126.35.87","TCP","66","63288  >  443 [ACK] Seq=5552 Ack=8331 Win=132352 Len=0 SLE=9771 SRE=10235"
"60","13.114202","40.126.35.87","192.168.1.14","TCP","1494","[TCP Out-Of-Order] 443  >  63288 [ACK] Seq=8331 Ack=5552 Win=4194048 Len=1440"
"61","13.114228","192.168.1.14","40.126.35.87","TCP","54","63288  >  443 [ACK] Seq=5552 Ack=10236 Win=132352 Len=0"
"62","13.114812","192.168.1.14","40.126.35.87","TLSv1.2","85","Encrypted Alert"
"63","13.114885","192.168.1.14","40.126.35.87","TCP","54","63288  >  443 [FIN, ACK] Seq=5583 Ack=10236 Win=132352 Len=0"
"64","13.138515","40.126.35.87","192.168.1.14","TCP","54","443  >  63288 [ACK] Seq=10236 Ack=5584 Win=4194048 Len=0"
"65","14.302815","192.168.1.14","192.168.1.12","TCP","164","62671  >  8009 [PSH, ACK] Seq=221 Ack=221 Win=508 Len=110 [TCP PDU reassembled in 209]"
"66","14.306179","192.168.1.12","192.168.1.14","TCP","164","8009  >  62671 [PSH, ACK] Seq=221 Ack=331 Win=1506 Len=110 [TCP PDU reassembled in 210]"
"67","14.348208","192.168.1.14","192.168.1.12","TCP","54","62671  >  8009 [ACK] Seq=331 Ack=331 Win=508 Len=0"
"74","17.917537","192.168.1.14","192.168.1.12","TCP","164","62706  >  8009 [PSH, ACK] Seq=331 Ack=331 Win=508 Len=110 [TCP PDU reassembled in 181]"
"75","17.924004","192.168.1.12","192.168.1.14","TCP","164","8009  >  62706 [PSH, ACK] Seq=331 Ack=441 Win=1506 Len=110 [TCP PDU reassembled in 183]"
"76","17.979190","192.168.1.14","192.168.1.12","TCP","54","62706  >  8009 [ACK] Seq=441 Ack=441 Win=507 Len=0"
"77","19.322710","192.168.1.14","192.168.1.12","TCP","164","62671  >  8009 [PSH, ACK] Seq=331 Ack=331 Win=508 Len=110 [TCP PDU reassembled in 209]"
"78","19.326550","192.168.1.12","192.168.1.14","TCP","164","8009  >  62671 [PSH, ACK] Seq=331 Ack=441 Win=1506 Len=110 [TCP PDU reassembled in 210]"
"79","19.369438","192.168.1.14","192.168.1.12","TCP","54","62671  >  8009 [ACK] Seq=441 Ack=441 Win=508 Len=0"
"80","22.927600","192.168.1.14","192.168.1.12","TCP","164","62706  >  8009 [PSH, ACK] Seq=441 Ack=441 Win=507 Len=110 [TCP PDU reassembled in 181]"
"81","22.931003","192.168.1.12","192.168.1.14","TCP","164","8009  >  62706 [PSH, ACK] Seq=441 Ack=551 Win=1506 Len=110 [TCP PDU reassembled in 183]"
"82","22.974279","192.168.1.14","192.168.1.12","TCP","54","62706  >  8009 [ACK] Seq=551 Ack=551 Win=513 Len=0"
"83","23.195047","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2600:1901:1:7c5::","TCP","75","62993  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"84","23.206761","2600:1901:1:7c5::","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","86","443  >  62993 [ACK] Seq=1 Ack=2 Win=279 Len=0 SLE=1 SRE=2"
"85","23.352047","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2600:1901:1:4be::","TCP","75","63072  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"86","23.363771","2600:1901:1:4be::","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","86","443  >  63072 [ACK] Seq=1 Ack=2 Win=279 Len=0 SLE=1 SRE=2"
"87","24.334953","192.168.1.14","192.168.1.12","TCP","164","62671  >  8009 [PSH, ACK] Seq=441 Ack=441 Win=508 Len=110 [TCP PDU reassembled in 209]"
"88","24.337715","192.168.1.12","192.168.1.14","TCP","164","8009  >  62671 [PSH, ACK] Seq=441 Ack=551 Win=1506 Len=110 [TCP PDU reassembled in 210]"
"89","24.381538","192.168.1.14","192.168.1.12","TCP","54","62671  >  8009 [ACK] Seq=551 Ack=551 Win=507 Len=0"
"91","26.022843","2620:1ec:46::254","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TLSv1.2","98","Application Data"
"92","26.023067","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2620:1ec:46::254","TCP","74","63282  >  443 [ACK] Seq=1 Ack=25 Win=1024 Len=0"
"93","26.023184","2620:1ec:46::254","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","74","443  >  63282 [FIN, ACK] Seq=25 Ack=1 Win=84 Len=0"
"94","26.023222","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2620:1ec:46::254","TCP","74","63282  >  443 [ACK] Seq=1 Ack=26 Win=1024 Len=0"
"96","27.939057","192.168.1.14","192.168.1.12","TCP","164","62706  >  8009 [PSH, ACK] Seq=551 Ack=551 Win=513 Len=110 [TCP PDU reassembled in 181]"
"97","27.942136","192.168.1.12","192.168.1.14","TCP","164","8009  >  62706 [PSH, ACK] Seq=551 Ack=661 Win=1506 Len=110 [TCP PDU reassembled in 183]"
"98","27.985220","192.168.1.14","192.168.1.12","TCP","54","62706  >  8009 [ACK] Seq=661 Ack=661 Win=512 Len=0"
"99","28.110277","192.168.1.14","3.165.102.101","TCP","55","62870  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"100","28.135091","3.165.102.101","192.168.1.14","TCP","66","443  >  62870 [ACK] Seq=1 Ack=2 Win=151 Len=0 SLE=1 SRE=2"
"101","29.345612","192.168.1.14","192.168.1.12","TCP","164","62671  >  8009 [PSH, ACK] Seq=551 Ack=551 Win=507 Len=110 [TCP PDU reassembled in 209]"
"102","29.349174","192.168.1.12","192.168.1.14","TCP","164","8009  >  62671 [PSH, ACK] Seq=551 Ack=661 Win=1506 Len=110 [TCP PDU reassembled in 210]"
"103","29.391570","192.168.1.14","192.168.1.12","TCP","54","62671  >  8009 [ACK] Seq=661 Ack=661 Win=513 Len=0"
"104","30.799261","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2600:1901:1:566::","TLSv1.2","117","Application Data"
"105","30.811109","2600:1901:1:566::","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","74","443  >  62702 [ACK] Seq=41 Ack=87 Win=290 Len=0"
"108","31.112829","2600:1901:1:566::","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TLSv1.2","114","Application Data"
"109","31.158736","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2600:1901:1:566::","TCP","74","62702  >  443 [ACK] Seq=87 Ack=81 Win=513 Len=0"
"110","32.945142","192.168.1.14","192.168.1.12","TCP","164","62706  >  8009 [PSH, ACK] Seq=661 Ack=661 Win=512 Len=110 [TCP PDU reassembled in 181]"
"111","32.953539","192.168.1.12","192.168.1.14","TCP","164","8009  >  62706 [PSH, ACK] Seq=661 Ack=771 Win=1506 Len=110 [TCP PDU reassembled in 183]"
"112","33.007252","192.168.1.14","192.168.1.12","TCP","54","62706  >  8009 [ACK] Seq=771 Ack=771 Win=512 Len=0"
"136","34.357498","192.168.1.14","192.168.1.12","TCP","164","62671  >  8009 [PSH, ACK] Seq=661 Ack=661 Win=513 Len=110 [TCP PDU reassembled in 209]"
"137","34.360229","192.168.1.12","192.168.1.14","TCP","164","8009  >  62671 [PSH, ACK] Seq=661 Ack=771 Win=1506 Len=110 [TCP PDU reassembled in 210]"
"138","34.403671","192.168.1.14","192.168.1.12","TCP","54","62671  >  8009 [ACK] Seq=771 Ack=771 Win=512 Len=0"
"139","35.880547","192.168.1.14","52.182.141.63","TCP","66","63289  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"140","36.110528","52.182.141.63","192.168.1.14","TCP","66","443  >  63289 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"141","36.110661","192.168.1.14","52.182.141.63","TCP","54","63289  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"142","36.113827","192.168.1.14","52.182.141.63","TLSv1.3","445","Client Hello (SNI=self.events.data.microsoft.com)"
"143","36.344337","52.182.141.63","192.168.1.14","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"144","36.344474","192.168.1.14","52.182.141.63","TCP","54","63289  >  443 [ACK] Seq=392 Ack=100 Win=261888 Len=0"
"145","36.355746","192.168.1.14","52.182.141.63","TLSv1.3","516","Change Cipher Spec, Client Hello (SNI=self.events.data.microsoft.com)"
"148","36.586475","52.182.141.63","192.168.1.14","TLSv1.3","1494","Server Hello"
"149","36.586593","192.168.1.14","52.182.141.63","TCP","54","63289  >  443 [ACK] Seq=854 Ack=1540 Win=262144 Len=0"
"150","36.587058","52.182.141.63","192.168.1.14","TCP","4374","443  >  63289 [ACK] Seq=1540 Ack=854 Win=4193792 Len=4320 [TCP PDU reassembled in 151]"
"151","36.587058","52.182.141.63","192.168.1.14","TLSv1.3","680","Application Data"
"152","36.587130","192.168.1.14","52.182.141.63","TCP","54","63289  >  443 [ACK] Seq=854 Ack=6486 Win=262144 Len=0"
"153","36.590420","192.168.1.14","52.182.141.63","TLSv1.3","128","Application Data"
"154","36.590738","192.168.1.14","52.182.141.63","TLSv1.3","505","Application Data"
"155","36.590796","192.168.1.14","52.182.141.63","TLSv1.3","5225","Application Data"
"158","36.819625","52.182.141.63","192.168.1.14","TCP","54","443  >  63289 [ACK] Seq=6486 Ack=1379 Win=4193280 Len=0"
"159","36.819625","52.182.141.63","192.168.1.14","TLSv1.3","157","Application Data"
"160","36.819733","192.168.1.14","52.182.141.63","TCP","54","63289  >  443 [ACK] Seq=6550 Ack=6589 Win=261888 Len=0"
"161","36.819915","52.182.141.63","192.168.1.14","TLSv1.3","101","Application Data"
"162","36.819936","192.168.1.14","52.182.141.63","TCP","54","63289  >  443 [ACK] Seq=6550 Ack=6636 Win=261888 Len=0"
"163","36.820452","52.182.141.63","192.168.1.14","TCP","54","443  >  63289 [ACK] Seq=6636 Ack=2819 Win=4194560 Len=0"
"164","36.820452","52.182.141.63","192.168.1.14","TCP","54","443  >  63289 [ACK] Seq=6636 Ack=4259 Win=4194560 Len=0"
"165","36.821519","52.182.141.63","192.168.1.14","TCP","54","443  >  63289 [ACK] Seq=6636 Ack=5699 Win=4194560 Len=0"
"166","36.821519","52.182.141.63","192.168.1.14","TCP","54","443  >  63289 [ACK] Seq=6636 Ack=6550 Win=4193792 Len=0"
"167","36.825459","52.182.141.63","192.168.1.14","TLSv1.3","502","Application Data"
"168","36.825558","192.168.1.14","52.182.141.63","TCP","54","63289  >  443 [ACK] Seq=6550 Ack=7084 Win=261376 Len=0"
"169","36.827519","192.168.1.14","52.182.141.63","TLSv1.3","505","Application Data"
"170","36.827627","192.168.1.14","52.182.141.63","TLSv1.3","4539","Application Data"
"171","37.056549","52.182.141.63","192.168.1.14","TCP","54","443  >  63289 [ACK] Seq=7084 Ack=8441 Win=4194560 Len=0"
"172","37.056549","52.182.141.63","192.168.1.14","TLSv1.3","101","Application Data"
"173","37.056718","192.168.1.14","52.182.141.63","TCP","54","63289  >  443 [ACK] Seq=11486 Ack=7131 Win=261376 Len=0"
"174","37.057462","52.182.141.63","192.168.1.14","TCP","54","443  >  63289 [ACK] Seq=7131 Ack=11321 Win=4194560 Len=0"
"175","37.060602","52.182.141.63","192.168.1.14","TLSv1.3","502","Application Data"
"176","37.060747","192.168.1.14","52.182.141.63","TCP","54","63289  >  443 [ACK] Seq=11486 Ack=7579 Win=260864 Len=0"
"181","37.963546","192.168.1.14","192.168.1.12","AJP13","164","AJP13 Error?"
"182","37.978169","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2404:6800:4003:c11::61","TCP","75","63218  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1"
"183","37.987385","192.168.1.12","192.168.1.14","AJP13","168","AJP13 Error?"
"184","37.987958","192.168.1.14","192.168.1.12","TCP","164","62706  >  8009 [PSH, ACK] Seq=881 Ack=885 Win=511 Len=110"
"185","37.991023","192.168.1.12","192.168.1.14","TCP","54","8009  >  62706 [ACK] Seq=885 Ack=991 Win=1506 Len=0"
"186","37.991023","192.168.1.12","192.168.1.14","TCP","164","8009  >  62706 [PSH, ACK] Seq=885 Ack=991 Win=1506 Len=110"
"187","38.041500","192.168.1.14","192.168.1.12","TCP","54","62706  >  8009 [ACK] Seq=991 Ack=995 Win=511 Len=0"
"188","38.082528","2404:6800:4003:c11::61","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","86","443  >  63218 [ACK] Seq=1 Ack=2 Win=290 Len=0 SLE=1 SRE=2"
"191","38.323675","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2001:4860:4802:38::178","TCP","75","63222  >  443 [ACK] Seq=1 Ack=1 Win=515 Len=1"
"192","38.428559","2001:4860:4802:38::178","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","86","443  >  63222 [ACK] Seq=1 Ack=2 Win=279 Len=0 SLE=1 SRE=2"
"193","38.544270","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2404:6800:4003:c00::9c","TCP","75","63223  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1"
"198","38.648906","2404:6800:4003:c00::9c","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","86","443  >  63223 [ACK] Seq=1 Ack=2 Win=1045 Len=0 SLE=1 SRE=2"
"199","38.701219","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2406:2600:7:100::9","TCP","75","63228  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1"
"200","38.724654","2406:2600:7:100::9","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","86","443  >  63228 [ACK] Seq=1 Ack=2 Win=63 Len=0 SLE=1 SRE=2"
"201","38.732262","192.168.1.14","182.161.73.136","TCP","55","63232  >  443 [ACK] Seq=1 Ack=1 Win=517 Len=1"
"202","38.755761","182.161.73.136","192.168.1.14","TCP","66","443  >  63232 [ACK] Seq=1 Ack=2 Win=63 Len=0 SLE=1 SRE=2"
"203","38.857222","192.168.1.14","182.161.73.136","TCP","55","63233  >  443 [ACK] Seq=1 Ack=1 Win=517 Len=1"
"204","38.880470","182.161.73.136","192.168.1.14","TCP","66","443  >  63233 [ACK] Seq=1 Ack=2 Win=63 Len=0 SLE=1 SRE=2"
"205","38.967816","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2404:6800:4003:c00::9c","TCP","75","63220  >  443 [ACK] Seq=1 Ack=1 Win=511 Len=1"
"206","39.015845","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2404:6800:4003:c1a::9a","TCP","75","63231  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"207","39.071569","2404:6800:4003:c00::9c","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","86","443  >  63220 [ACK] Seq=1 Ack=2 Win=279 Len=0 SLE=1 SRE=2"
"208","39.120469","2404:6800:4003:c1a::9a","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","86","443  >  63231 [ACK] Seq=1 Ack=2 Win=279 Len=0 SLE=1 SRE=2"
"209","39.373580","192.168.1.14","192.168.1.12","AJP13","164","AJP13 Error?"
"210","39.376157","192.168.1.12","192.168.1.14","AJP13","164","AJP13 Error?"
"211","39.388789","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2404:6800:4003:c1c::84","TCP","75","63234  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"212","39.420046","192.168.1.14","192.168.1.12","TCP","54","62671  >  8009 [ACK] Seq=881 Ack=881 Win=512 Len=0"
"213","39.492486","2404:6800:4003:c1c::84","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","86","443  >  63234 [ACK] Seq=1 Ack=2 Win=279 Len=0 SLE=1 SRE=2"
"218","40.206973","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2404:6800:4003:c1a::9a","TCP","75","63236  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"219","40.310371","2404:6800:4003:c1a::9a","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","86","443  >  63236 [ACK] Seq=1 Ack=2 Win=279 Len=0 SLE=1 SRE=2"
"220","40.539281","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","2404:6800:4003:c1a::9a","TCP","75","63237  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"221","40.643949","2404:6800:4003:c1a::9a","2404:97c0:223:4181:d8ac:cbb4:17b:ef4b","TCP","86","443  >  63237 [ACK] Seq=1 Ack=2 Win=279 Len=0 SLE=1 SRE=2"
"224","42.690852","192.168.1.14","35.186.224.44","TLSv1.2","82","Application Data"
"225","42.701849","35.186.224.44","192.168.1.14","TCP","54","443  >  62694 [ACK] Seq=25 Ack=57 Win=272 Len=0"
"226","43.005013","192.168.1.14","192.168.1.12","TCP","164","62706  >  8009 [PSH, ACK] Seq=991 Ack=995 Win=511 Len=110"
"227","43.005139","35.186.224.44","192.168.1.14","TLSv1.2","78","Application Data"
"228","43.011676","192.168.1.12","192.168.1.14","TCP","164","8009  >  62706 [PSH, ACK] Seq=995 Ack=1101 Win=1506 Len=110"
"229","43.051461","192.168.1.14","35.186.224.44","TCP","54","62694  >  443 [ACK] Seq=57 Ack=49 Win=508 Len=0"
"230","43.051724","192.168.1.14","192.168.1.12","TCP","54","62706  >  8009 [ACK] Seq=1101 Ack=1105 Win=511 Len=0"
"242","44.385358","192.168.1.14","192.168.1.12","TCP","164","62671  >  8009 [PSH, ACK] Seq=881 Ack=881 Win=512 Len=110"
"243","44.414325","192.168.1.12","192.168.1.14","TCP","164","8009  >  62671 [PSH, ACK] Seq=881 Ack=991 Win=1506 Len=110"
"244","44.463023","192.168.1.14","192.168.1.12","TCP","54","62671  >  8009 [ACK] Seq=991 Ack=991 Win=511 Len=0"
"252","48.016469","192.168.1.14","192.168.1.12","TCP","164","62706  >  8009 [PSH, ACK] Seq=1101 Ack=1105 Win=511 Len=110"
"253","48.018905","192.168.1.12","192.168.1.14","TCP","164","8009  >  62706 [PSH, ACK] Seq=1105 Ack=1211 Win=1506 Len=110"
"254","48.062300","192.168.1.14","192.168.1.12","TCP","54","62706  >  8009 [ACK] Seq=1211 Ack=1215 Win=510 Len=0"
"255","49.424321","192.168.1.14","192.168.1.12","TCP","164","62671  >  8009 [PSH, ACK] Seq=991 Ack=991 Win=511 Len=110"
"256","49.431080","192.168.1.12","192.168.1.14","TCP","164","8009  >  62671 [PSH, ACK] Seq=991 Ack=1101 Win=1506 Len=110"
"257","49.485992","192.168.1.14","192.168.1.12","TCP","54","62671  >  8009 [ACK] Seq=1101 Ack=1101 Win=511 Len=0"
"258","50.612881","192.168.1.14","40.126.35.87","TCP","66","63290  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"259","50.637141","40.126.35.87","192.168.1.14","TCP","66","443  >  63290 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"260","50.637457","192.168.1.14","40.126.35.87","TCP","54","63290  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
